NACE,NACE code text,sSpread
C22.2.2,Manufacture of plastic packing goods,0.01
C22.2.3,Manufacture of builders’ ware of plastic,0.01
C22.2.9,Manufacture of other plastic products,0.01
C23,Manufacture of other non-metallic mineral products,0.01
C23.1,Manufacture of glass and glass products,0.01
C23.1.1,Manufacture of flat glass,0.01
C23.1.2,Shaping and processing of flat glass,0.01
C23.1.3,Manufacture of hollow glass,0.01
C23.1.4,Manufacture of glass fibres,0.01
C23.1.9,"Manufacture and processing of other glass, including technical glassware",0.01
C23.2,Manufacture of refractory products,0.01
C23.2.0,Manufacture of refractory products,0.01
C23.3,Manufacture of clay building materials,0.01
C23.3.1,Manufacture of ceramic tiles and flags,0.01
C23.3.2,"Manufacture of bricks, tiles and construction products, in baked clay",0.01
C23.4,Manufacture of other porcelain and ceramic products,0.01
C23.4.1,Manufacture of ceramic household and ornamental articles,0.01
C23.4.2,Manufacture of ceramic sanitary fixtures,0.01
C23.4.3,Manufacture of ceramic insulators and insulating fittings,0.01
C23.4.4,Manufacture of other technical ceramic products,0.01
C23.4.9,Manufacture of other ceramic products,0.01
C23.5,"Manufacture of cement, lime and plaster",0.01
C23.5.1,Manufacture of cement,0.01
C23.5.2,Manufacture of lime and plaster,0.01
C23.6,"Manufacture of articles of concrete, cement and plaster",0.01
C23.6.1,Manufacture of concrete products for construction purposes,0.01
C23.6.2,Manufacture of plaster products for construction purposes,0.01
C23.6.3,Manufacture of ready-mixed concrete,0.01
C23.6.4,Manufacture of mortars,0.01
C23.6.5,Manufacture of fibre cement,0.01
C23.6.9,"Manufacture of other articles of concrete, plaster and cement",0.01
C23.7,"Cutting, shaping and finishing of stone",0.01
C23.7.0,"Cutting, shaping and finishing of stone",0.01
C23.9,Manufacture of abrasive products and non-metallic mineral products n.e.c.,0.01
C23.9.1,Production of abrasive products,0.01
C23.9.9,Manufacture of other non-metallic mineral products n.e.c.,0.01
C24,Manufacture of basic metals,0.01
C24.1,Manufacture of basic iron and steel and of ferro-alloys,0.01
C24.1.0,Manufacture of basic iron and steel and of ferro-alloys,0.01
C24.2,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",0.01
C24.2.0,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",0.01
C24.3,Manufacture of other products of first processing of steel,0.01
C24.3.1,Cold drawing of bars,0.01
C24.3.2,Cold rolling of narrow strip,0.01
C24.3.3,Cold forming or folding,0.01
C24.3.4,Cold drawing of wire,0.01
C24.4,Manufacture of basic precious and other non-ferrous metals,0.01
C24.4.1,Precious metals production,0.01
C24.4.2,Aluminium production,0.01
C24.4.3,"Lead, zinc and tin production",0.01
C24.4.4,Copper production,0.01
C24.4.5,Other non-ferrous metal production,0.01
C24.4.6,Processing of nuclear fuel,0.01
C24.5,Casting of metals,0.01
C24.5.1,Casting of iron,0.01
C24.5.2,Casting of steel,0.01
C24.5.3,Casting of light metals,0.01
C24.5.4,Casting of other non-ferrous metals,0.01
C25,"Manufacture of fabricated metal products, except machinery and equipment",0.01
C25.1,Manufacture of structural metal products,0.01
C25.1.1,Manufacture of metal structures and parts of structures,0.01
C25.1.2,Manufacture of doors and windows of metal,0.01
C25.2,"Manufacture of tanks, reservoirs and containers of metal",0.01
C25.2.1,Manufacture of central heating radiators and boilers,0.01
C25.2.9,"Manufacture of other tanks, reservoirs and containers of metal",0.01
C25.3,"Manufacture of steam generators, except central heating hot water boilers",0.01
C25.3.0,"Manufacture of steam generators, except central heating hot water boilers",0.01
C25.4,Manufacture of weapons and ammunition,0.01
C25.4.0,Manufacture of weapons and ammunition,0.01
C25.5,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",0.01
C25.5.0,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",0.01
C25.6,Treatment and coating of metals; machining,0.01
C25.6.1,Treatment and coating of metals,0.01
C25.6.2,Machining,0.01
C25.7,"Manufacture of cutlery, tools and general hardware",0.01
C25.7.1,Manufacture of cutlery,0.01
C25.7.2,Manufacture of locks and hinges,0.01
C25.7.3,Manufacture of tools,0.01
C25.9,Manufacture of other fabricated metal products,0.01
C25.9.1,Manufacture of steel drums and similar containers,0.01
C25.9.2,Manufacture of light metal packaging,0.01
C25.9.3,"Manufacture of wire products, chain and springs",0.01
C25.9.4,Manufacture of fasteners and screw machine products,0.01
C25.9.9,Manufacture of other fabricated metal products n.e.c.,0.01
C26,"Manufacture of computer, electronic and optical products",0.01
C26.1,Manufacture of electronic components and boards,0.01
C26.1.1,Manufacture of electronic components,0.01
C26.1.2,Manufacture of loaded electronic boards,0.01
C26.2,Manufacture of computers and peripheral equipment,0.01
C26.2.0,Manufacture of computers and peripheral equipment,0.01
C26.3,Manufacture of communication equipment,0.01
C26.3.0,Manufacture of communication equipment,0.01
C26.4,Manufacture of consumer electronics,0.01
C26.4.0,Manufacture of consumer electronics,0.01
C26.5,"Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks",0.01
C26.5.1,"Manufacture of instruments and appliances for measuring, testing and navigation",0.01
C26.5.2,Manufacture of watches and clocks,0.01
C26.6,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",0.01
C26.6.0,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",0.01
C26.7,Manufacture of optical instruments and photographic equipment,0.01
C26.7.0,Manufacture of optical instruments and photographic equipment,0.01
C26.8,Manufacture of magnetic and optical media,0.01
C26.8.0,Manufacture of magnetic and optical media,0.01
C27,Manufacture of electrical equipment,0.01
C27.1,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",0.01
C27.1.1,"Manufacture of electric motors, generators and transformers",0.01
C27.1.2,Manufacture of electricity distribution and control apparatus,0.01
C27.2,Manufacture of batteries and accumulators,0.01
C27.2.0,Manufacture of batteries and accumulators,0.01
C27.3,Manufacture of wiring and wiring devices,0.01
C27.3.1,Manufacture of fibre optic cables,0.01
C27.3.2,Manufacture of other electronic and electric wires and cables,0.01
C27.3.3,Manufacture of wiring devices,0.01
C27.4,Manufacture of electric lighting equipment,0.01
C27.4.0,Manufacture of electric lighting equipment,0.01
C27.5,Manufacture of domestic appliances,0.01
C27.5.1,Manufacture of electric domestic appliances,0.01
C27.5.2,Manufacture of non-electric domestic appliances,0.01
C27.9,Manufacture of other electrical equipment,0.01
C27.9.0,Manufacture of other electrical equipment,0.01
C28,Manufacture of machinery and equipment n.e.c.,0.01
C28.1,Manufacture of general-purpose machinery,0.01
C28.1.1,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",0.01
C28.1.2,Manufacture of fluid power equipment,0.01
C28.1.3,Manufacture of other pumps and compressors,0.01
C28.1.4,Manufacture of other taps and valves,0.01
C28.1.5,"Manufacture of bearings, gears, gearing and driving elements",0.01
C28.2,Manufacture of other general-purpose machinery,0.01
C28.2.1,"Manufacture of ovens, furnaces and furnace burners",0.01
C28.2.2,Manufacture of lifting and handling equipment,0.01
C28.2.3,Manufacture of office machinery and equipment (except computers and peripheral equipment),0.01
C28.2.4,Manufacture of power-driven hand tools,0.01
C28.2.5,Manufacture of non-domestic cooling and ventilation equipment,0.01
C28.2.9,Manufacture of other general-purpose machinery n.e.c.,0.01
C28.3,Manufacture of agricultural and forestry machinery,0.01
C28.3.0,Manufacture of agricultural and forestry machinery,0.01
C28.4,Manufacture of metal forming machinery and machine tools,0.01
C28.4.1,Manufacture of metal forming machinery,0.01
C28.4.9,Manufacture of other machine tools,0.01
C28.9,Manufacture of other special-purpose machinery,0.01
C28.9.1,Manufacture of machinery for metallurgy,0.01
C28.9.2,"Manufacture of machinery for mining, quarrying and construction",0.01
C28.9.3,"Manufacture of machinery for food, beverage and tobacco processing",0.01
C28.9.4,"Manufacture of machinery for textile, apparel and leather production",0.01
C28.9.5,Manufacture of machinery for paper and paperboard production,0.01
C28.9.6,Manufacture of plastics and rubber machinery,0.01
C28.9.9,Manufacture of other special-purpose machinery n.e.c.,0.01
C29,"Manufacture of motor vehicles, trailers and semi-trailers",0.01
C29.1,Manufacture of motor vehicles,0.01
C29.1.0,Manufacture of motor vehicles,0.01
C29.2,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,0.01
C29.2.0,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,0.01
C29.3,Manufacture of parts and accessories for motor vehicles,0.01
C29.3.1,Manufacture of electrical and electronic equipment for motor vehicles,0.01
C29.3.2,Manufacture of other parts and accessories for motor vehicles,0.01
C30,Manufacture of other transport equipment,0.01
C30.1,Building of ships and boats,0.01
C30.1.1,Building of ships and floating structures,0.01
C30.1.2,Building of pleasure and sporting boats,0.01
C30.2,Manufacture of railway locomotives and rolling stock,0.01
C30.2.0,Manufacture of railway locomotives and rolling stock,0.01
C30.3,Manufacture of air and spacecraft and related machinery,0.01
C30.3.0,Manufacture of air and spacecraft and related machinery,0.01
C30.4,Manufacture of military fighting vehicles,0.01
C30.4.0,Manufacture of military fighting vehicles,0.01
C30.9,Manufacture of transport equipment n.e.c.,0.01
C30.9.1,Manufacture of motorcycles,0.01
C30.9.2,Manufacture of bicycles and invalid carriages,0.01
C30.9.9,Manufacture of other transport equipment n.e.c.,0.01
C31,Manufacture of furniture,0.01
C31.0,Manufacture of furniture,0.01
C31.0.1,Manufacture of office and shop furniture,0.01
C31.0.2,Manufacture of kitchen furniture,0.01
C31.0.3,Manufacture of mattresses,0.01
C31.0.9,Manufacture of other furniture,0.01
C32,Other manufacturing,0.01
C32.1,"Manufacture of jewellery, bijouterie and related articles",0.01
C32.1.1,Striking of coins,0.01
C32.1.2,Manufacture of jewellery and related articles,0.01
C32.1.3,Manufacture of imitation jewellery and related articles,0.01
C32.2,Manufacture of musical instruments,0.01
C32.2.0,Manufacture of musical instruments,0.01
C32.3,Manufacture of sports goods,0.01
C32.3.0,Manufacture of sports goods,0.01
C32.4,Manufacture of games and toys,0.01
C32.4.0,Manufacture of games and toys,0.01
C32.5,Manufacture of medical and dental instruments and supplies,0.01
C32.5.0,Manufacture of medical and dental instruments and supplies,0.01
C32.9,Manufacturing n.e.c.,0.01
C32.9.1,Manufacture of brooms and brushes,0.01
C32.9.9,Other manufacturing n.e.c.,0.01
C33,Repair and installation of machinery and equipment,0.01
C33.1,"Repair of fabricated metal products, machinery and equipment",0.01
C33.1.1,Repair of fabricated metal products,0.01
C33.1.2,Repair of machinery,0.01
C33.1.3,Repair of electronic and optical equipment,0.01
C33.1.4,Repair of electrical equipment,0.01
C33.1.5,Repair and maintenance of ships and boats,0.01
C33.1.6,Repair and maintenance of aircraft and spacecraft,0.01
C33.1.7,Repair and maintenance of other transport equipment,0.01
C33.1.9,Repair of other equipment,0.01
C33.2,Installation of industrial machinery and equipment,0.01
C33.2.0,Installation of industrial machinery and equipment,0.01
D,"Electricity, gas, steam and air conditioning supply",0.01
D35,"Electricity, gas, steam and air conditioning supply",0.01
D35.1,"Electric power generation, transmission and distribution",0.01
D35.1.1,Production of electricity,0.01
D35.1.2,Transmission of electricity,0.01
D35.1.3,Distribution of electricity,0.01
D35.1.4,Trade of electricity,0.01
D35.2,Manufacture of gas; distribution of gaseous fuels through mains,0.01
D35.2.1,Manufacture of gas,0.01
D35.2.2,Distribution of gaseous fuels through mains,0.01
D35.2.3,Trade of gas through mains,0.01
D35.3,Steam and air conditioning supply,0.01
D35.3.0,Steam and air conditioning supply,0.01
E,Water supply; sewerage; waste managment and remediation activities,0.01
E36,"Water collection, treatment and supply",0.01
E36.0,"Water collection, treatment and supply",0.01
E36.0.0,"Water collection, treatment and supply",0.01
E37,Sewerage,0.01
E37.0,Sewerage,0.01
E37.0.0,Sewerage,0.01
E38,"Waste collection, treatment and disposal activities; materials recovery",0.01
E38.1,Waste collection,0.01
E38.1.1,Collection of non-hazardous waste,0.01
E38.1.2,Collection of hazardous waste,0.01
E38.2,Waste treatment and disposal,0.01
E38.2.1,Treatment and disposal of non-hazardous waste,0.01
E38.2.2,Treatment and disposal of hazardous waste,0.01
E38.3,Materials recovery,0.01
E38.3.1,Dismantling of wrecks,0.01
E38.3.2,Recovery of sorted materials,0.01
E39,Remediation activities and other waste management services,0.01
E39.0,Remediation activities and other waste management services,0.01
E39.0.0,Remediation activities and other waste management services,0.01
F,Construction,0.01
F41,Construction of buildings,0.01
F41.1,Development of building projects,0.01
F41.1.0,Development of building projects,0.01
F41.2,Construction of residential and non-residential buildings,0.01
F41.2.0,Construction of residential and non-residential buildings,0.01
F42,Civil engineering,0.01
F42.1,Construction of roads and railways,0.01
F42.1.1,Construction of roads and motorways,0.01
F42.1.2,Construction of railways and underground railways,0.01
F42.1.3,Construction of bridges and tunnels,0.01
F42.2,Construction of utility projects,0.01
F42.2.1,Construction of utility projects for fluids,0.01
F42.2.2,Construction of utility projects for electricity and telecommunications,0.01
F42.9,Construction of other civil engineering projects,0.01
F42.9.1,Construction of water projects,0.01
F42.9.9,Construction of other civil engineering projects n.e.c.,0.01
F43,Specialised construction activities,0.01
F43.1,Demolition and site preparation,0.01
F43.1.1,Demolition,0.01
F43.1.2,Site preparation,0.01
F43.1.3,Test drilling and boring,0.01
F43.2,"Electrical, plumbing and other construction installation activities",0.01
F43.2.1,Electrical installation,0.01
F43.2.2,"Plumbing, heat and air-conditioning installation",0.01
F43.2.9,Other construction installation,0.01
F43.3,Building completion and finishing,0.01
F43.3.1,Plastering,0.01
F43.3.2,Joinery installation,0.01
F43.3.3,Floor and wall covering,0.01
F43.3.4,Painting and glazing,0.01
F43.3.9,Other building completion and finishing,0.01
F43.9,Other specialised construction activities,0.01
F43.9.1,Roofing activities,0.01
F43.9.9,Other specialised construction activities n.e.c.,0.01
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.01
G45,Wholesale and retail trade and repair of motor vehicles and motorcycles,0.01
G45.1,Sale of motor vehicles,0.01
G45.1.1,Sale of cars and light motor vehicles,0.01
G45.1.9,Sale of other motor vehicles,0.01
G45.2,Maintenance and repair of motor vehicles,0.01
G45.2.0,Maintenance and repair of motor vehicles,0.01
G45.3,Sale of motor vehicle parts and accessories,0.01
G45.3.1,Wholesale trade of motor vehicle parts and accessories,0.01
G45.3.2,Retail trade of motor vehicle parts and accessories,0.01
G45.4,"Sale, maintenance and repair of motorcycles and related parts and accessories",0.01
G45.4.0,"Sale, maintenance and repair of motorcycles and related parts and accessories",0.01
G46,"Wholesale trade, except of motor vehicles and motorcycles",0.01
G46.1,Wholesale on a fee or contract basis,0.01
G46.1.1,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",0.01
G46.1.2,"Agents involved in the sale of fuels, ores, metals and industrial chemicals",0.01
G46.1.3,Agents involved in the sale of timber and building materials,0.01
G46.1.4,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",0.01
G46.1.5,"Agents involved in the sale of furniture, household goods, hardware and ironmongery",0.01
G46.1.6,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",0.01
G46.1.7,"Agents involved in the sale of food, beverages and tobacco",0.01
G46.1.8,Agents specialised in the sale of other particular products,0.01
G46.1.9,Agents involved in the sale of a variety of goods,0.01
G46.2,Wholesale of agricultural raw materials and live animals,0.01
G46.2.1,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",0.01
G46.2.2,Wholesale of flowers and plants,0.01
G46.2.3,Wholesale of live animals,0.01
G46.2.4,"Wholesale of hides, skins and leather",0.01
G46.3,"Wholesale of food, beverages and tobacco",0.01
G46.3.1,Wholesale of fruit and vegetables,0.01
G46.3.2,Wholesale of meat and meat products,0.01
G46.3.3,"Wholesale of dairy products, eggs and edible oils and fats",0.01
G46.3.4,Wholesale of beverages,0.01
G46.3.5,Wholesale of tobacco products,0.01
G46.3.6,Wholesale of sugar and chocolate and sugar confectionery,0.01
G46.3.7,"Wholesale of coffee, tea, cocoa and spices",0.01
G46.3.8,"Wholesale of other food, including fish, crustaceans and molluscs",0.01
G46.3.9,"Non-specialised wholesale of food, beverages and tobacco",0.01
G46.4,Wholesale of household goods,0.01
G46.4.1,Wholesale of textiles,0.01
G46.4.2,Wholesale of clothing and footwear,0.01
G46.4.3,Wholesale of electrical household appliances,0.01
G46.4.4,Wholesale of china and glassware and cleaning materials,0.01
