Country,Euro_Maturities,Euro_Values,Austria_Maturities,Austria_Values,Belgium_Maturities,Belgium_Values,Bulgaria_Maturities,Bulgaria_Values,Croatia_Maturities,Croatia_Values,Cyprus_Maturities,Cyprus_Values,Czech Republic_Maturities,Czech Republic_Values,Denmark_Maturities,Denmark_Values,Estonia_Maturities,Estonia_Values,Finland_Maturities,Finland_Values,France_Maturities,France_Values,Germany_Maturities,Germany_Values,Greece_Maturities,Greece_Values,Hungary_Maturities,Hungary_Values,Iceland_Maturities,Iceland_Values,Ireland_Maturities,Ireland_Values,Italy_Maturities,Italy_Values,Latvia_Maturities,Latvia_Values,Liechtenstein_Maturities,Liechtenstein_Values,Lithuania_Maturities,Lithuania_Values,Luxembourg_Maturities,Luxembourg_Values,Malta_Maturities,Malta_Values,Netherlands_Maturities,Netherlands_Values,Norway_Maturities,Norway_Values,Poland_Maturities,Poland_Values,Portugal_Maturities,Portugal_Values,Romania_Maturities,Romania_Values,Russia_Maturities,Russia_Values,Slovakia_Maturities,Slovakia_Values,Slovenia_Maturities,Slovenia_Values,Spain_Maturities,Spain_Values,Sweden_Maturities,Sweden_Values,Switzerland_Maturities,Switzerland_Values,United Kingdom_Maturities,United Kingdom_Values,Australia_Maturities,Australia_Values,Brazil_Maturities,Brazil_Values,Canada_Maturities,Canada_Values,Chile_Maturities,Chile_Values,China_Maturities,China_Values,Colombia_Maturities,Colombia_Values,Hong Kong_Maturities,Hong Kong_Values,India_Maturities,India_Values,Japan_Maturities,Japan_Values,Malaysia_Maturities,Malaysia_Values,Mexico_Maturities,Mexico_Values,New Zealand_Maturities,New Zealand_Values,Singapore_Maturities,Singapore_Values,South Africa_Maturities,South Africa_Values,South Korea_Maturities,South Korea_Values,Taiwan_Maturities,Taiwan_Values,Thailand_Maturities,Thailand_Values,Turkey_Maturities,Turkey_Values,United States_Maturities,United States_Values
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.007697792,19,-0.001416058,,,19,0.001421975,,,9.5,0.000618892,,,9.5,0.022657444,,,,,,,2.923076923,0.027973152,19,-0.003802126,,,9.5,-0.01084799,9.5,-0.003457115,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0.007441075,19.5,-0.001392245,,,19.5,0.001398063,,,9.75,0.000612119,,,9.75,0.022466131,,,,,,,3,2.751470928,19.5,-0.003738189,,,9.75,-0.010703756,9.75,-0.003427924,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0.007192919,20,-0.305122608,,,20,0.001374553,,,10,0.080793491,,,10,2.78990635,,,,,,,3.076923077,0.008805894,20,-0.174720223,,,10,-0.153906764,10,-0.789447227,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0.006953039,20.5,0.004283659,,,20.5,0.001351439,,,,,,,10.25,-0.001443699,,,,,,,3.153846154,0.008776452,,,,,10.25,-0.007252771,10.25,0.002494789,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0.006721159,21,0.004211625,,,21,0.001328713,,,,,,,10.5,-0.001431509,,,,,,,3.230769231,0.008747108,,,,,10.5,-0.007156338,10.5,0.002473723,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0.006497012,21.5,0.004140802,,,21.5,0.001306369,,,,,,,10.75,-0.001419422,,,,,,,3.307692308,0.008717862,,,,,10.75,-0.007061187,10.75,0.002452836,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0.006280341,22,0.004071169,,,22,0.001284401,,,,,,,11,-0.001407436,,,,,,,3.384615385,0.008688713,,,,,11,-0.006967301,11,0.002432125,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0.006070895,22.5,0.004002708,,,22.5,0.001262802,,,,,,,11.25,-0.001395552,,,,,,,3.461538462,0.008659663,,,,,11.25,-0.006874664,11.25,0.002411589,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0.005868434,23,0.003935398,,,23,0.001241567,,,,,,,11.5,-0.001383769,,,,,,,3.538461538,0.008630709,,,,,11.5,-0.006783259,11.5,0.002391226,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0.005672725,23.5,0.00386922,,,23.5,0.001220688,,,,,,,11.75,-0.001372085,,,,,,,3.615384615,0.008601852,,,,,11.75,-0.006693068,11.75,0.002371035,,,,,,,,
